1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"블레이드&amp;소울 레볼루션","Netmarble","com.netmarble.bnsmkr"
3,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
4,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
5,"브롤스타즈","Supercell","com.supercell.brawlstars"
6,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
7,"신명","Trigirls Studio","com.indie.jzx.kr"
8,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
9,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
10,"세븐나이츠","Netmarble","com.cjenm.sknights"
11,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
12,"모두의마블","Netmarble","com.cjenm.ModooMarbleKakao"
13,"십이지천M","엔토리","com.ntori.tsm"
14,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
15,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
16,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
17,"마피아 시티","YottaGames","com.yottagames.mafiawar"
18,"검은강호","9Splay","com.nsplay.ghkr.android"
19,"소녀전선","X.D. Global","kr.txwy.and.snqx"
20,"오크: 전쟁의 서막","Efun Company","kr.com.efun.kok.google"
21,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
22,"다크에덴M","Entermate","com.entermate.darkeden"
23,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
24,"데일리 판타지","RastarGames","com.guanghuan.czjykr"
25,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
26,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
27,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
28,"위 베어 베어스 더 퍼즐","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
29,"미르의전설2 리부트","Gamepub","com.gamepub.mir18.g"
30,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
31,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
32,"넷마블 포커 - 바카라, 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
33,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
34,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
35,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
36,"삼국지M","Efun Company","com.efunkr.qy.google"
