1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"킹 오브 파이터 올스타","Netmarble","com.netmarble.kofkr"
3,"브롤스타즈","Supercell","com.supercell.brawlstars"
4,"블레이드&amp;소울 레볼루션","Netmarble","com.netmarble.bnsmkr"
5,"소녀전선","X.D. Global","kr.txwy.and.snqx"
6,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
7,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
8,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
9,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
10,"트라하","NEXON Company","com.nexon.traha"
11,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
12,"아르카","GAMELAND(HK)CO.,LIMITED","com.ulugame.faithkr.google"
13,"블리치 Mobile 3D","Kimi Entertainment","com.koramgame.ggplay.bleachkr"
14,"프린세스 커넥트! Re:Dive","Kakao Games Corp.","com.kakaogames.pcr"
15,"신명","Trigirls Studio","com.indie.jzx.kr"
16,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
17,"강림 : 망령인도자","Trigirls Studio","com.indie.jl.kr"
18,"마피아 시티","YottaGames","com.yottagames.mafiawar"
19,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
20,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
21,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
22,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
23,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
24,"넷마블 포커 - 블랙잭, 바카라,7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
25,"라이프애프터","X.D. Global","com.xdg.and.kr.lifeafter"
26,"검은강호","9Splay","com.nsplay.ghkr.android"
27,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
28,"십이지천M","엔토리","com.ntori.tsm"
29,"한게임 포커","NHN Corp.","com.nhnent.Qpoker"
30,"꿈의 집 (Homescapes)","Playrix","com.playrix.homescapes"
31,"클래시 로얄","Supercell","com.supercell.clashroyale"
32,"황제라 칭하라","Clicktouch Co.,Ltd.","com.wsy.google.wansuiye.kr"
33,"모두의마블","Netmarble","com.cjenm.ModooMarbleKakao"
34,"총기시대 (Guns of Glory)","Century Game (DIANDIAN INTERACTIVE)","com.diandian.gog"
35,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
36,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
37,"파천: 신이 되는 자","4399 KOREA","com.wzxx4399kr.google"
38,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
39,"세븐나이츠","Netmarble","com.cjenm.sknights"
40,"오크: 복수의 맹세","Efun Company","kr.com.efun.kok.google"
41,"블리치 - 사신 격투","DeNA HONG KONG LIMITED","com.denachina.g33002002.android"
42,"컴투스프로야구2019","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
43,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
44,"린: 더 라이트브링어","NEXON Company","com.nexon.lyn.global"
45,"애니팡3","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
46,"좀비고등학교","AWESOMEPIECE","net.kernys.aooni"
47,"Pokémon GO","Niantic, Inc.","com.nianticlabs.pokemongo"
48,"이사만루2019","Netmarble","com.netmarble.full2016"
49,"DRAGON BALL Z 폭렬격전","BANDAI NAMCO Entertainment Inc.","com.bandainamcogames.dbzdokkanww"
50,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
51,"피버 바스켓","Longtu Korea Inc.","com.longtukorea.fb"
52,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
53,"Idle Heroes - 아이들 히어로즈","DHGAMES","com.droidhang.ad"
54,"히어로칸타레 with NAVER WEBTOON","NGEL GAMES Co.,Ltd.","com.ngelgames.herocantare"
55,"얼티밋풋볼클럽","Efun Company","com.kr.krzq.google"
56,"궁수의 전설","Habby","com.habby.archero"
57,"위 베어 베어스 더 퍼즐","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
58,"Empires &amp; Puzzles: RPG Quest","Small Giant Games","com.smallgiantgames.empires"
59,"원피스 트레저 크루즈","BANDAI NAMCO Entertainment Inc.","com.bandainamcoent.onepiecetresurecruisekr"
60,"꿈의 정원 (Gardenscapes)","Playrix","com.playrix.gardenscapes"
61,"프렌즈타운","Kakao Games Corp.","com.kakaogames.friendsTown"
62,"새 천하를 열다","ED GAMES CORP.","com.edgames.newworld"
63,"레이븐 : FESTIVAL","Netmarble","com.netmarble.rav"
64,"여신차원 : 방치형RPG","D&amp;C of Storm","com.dncofstorm.valkyrie.google"
65,"액스(AxE)","NEXON Company","com.nexon.axe"
66,"풍신","GAMELAND(HK)CO.,LIMITED","com.ulugames.euros.google"
67,"대항해의길","Linekong Korea Co. Ltd.","com.netease.dhhzlggkr"
68,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
69,"프렌즈팝","Kakao Games Corp.","com.nhnpixelcube.friendspop"
70,"피망 뉴맞고 : 고스톱으로 대한민국 1등","NEOWIZ corp","com.neowiz.games.newmatgo"
71,"레이더스","C.O.C","com.coc.kr.cocyl.google"
72,"맨트라","Century Game (DIANDIAN INTERACTIVE)","com.diandian.legendofhonourkr"
73,"Yu-Gi-Oh! Duel Links","KONAMI","jp.konami.duellinks"
74,"프렌즈팝콘","Kakao Games Corp.","com.kakaogames.friendsKing"
75,"아리엘","Eyougame Inc.","com.eyougame.ariel"
76,"꿈의 마을 (Township)","Playrix","com.playrix.township"
