1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"블레이드&amp;소울 레볼루션","Netmarble","com.netmarble.bnsmkr"
3,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
4,"린: 더 라이트브링어","NEXON Company","com.nexon.lyn.global"
5,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
6,"세븐나이츠","Netmarble","com.cjenm.sknights"
7,"브롤스타즈","Supercell","com.supercell.brawlstars"
8,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
9,"신명","Trigirls Studio","com.indie.jzx.kr"
10,"모두의마블","Netmarble","com.cjenm.ModooMarbleKakao"
11,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
12,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
13,"소녀전선","X.D. Global","kr.txwy.and.snqx"
14,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
15,"마피아 시티","YottaGames","com.yottagames.mafiawar"
16,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
17,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
18,"아리엘","Eyougame Inc.","com.eyougame.ariel"
19,"오크: 복수의 맹세","Efun Company","kr.com.efun.kok.google"
20,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
21,"Pokémon GO","Niantic, Inc.","com.nianticlabs.pokemongo"
22,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
23,"검은강호","9Splay","com.nsplay.ghkr.android"
24,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
25,"마스터탱커","Webzen Inc.","com.webzen.mt.google"
26,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
27,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
28,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
29,"삼국지M","Efun Company","com.efunkr.qy.google"
30,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
31,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
32,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
33,"클래시 로얄","Supercell","com.supercell.clashroyale"
34,"넷마블 포커 - 바카라, 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
35,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
36,"십이지천M","엔토리","com.ntori.tsm"
37,"미르의전설2 리부트","Gamepub","com.gamepub.mir18.g"
