1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
3,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
4,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
5,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
6,"모두의마블 for kakao","Netmarble","com.cjenm.ModooMarbleKakao"
7,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
8,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
9,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
10,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
11,"삼국지M","Efun Company","com.efunkr.qy.google"
12,"세븐나이츠 for Kakao","Netmarble","com.cjenm.sknights"
13,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
14,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
15,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
16,"액스(AxE)","NEXON Company","com.nexon.axe"
17,"마피아 시티","YottaGames","com.yottagames.mafiawar"
18,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
19,"소녀전선","X.D. Global","kr.txwy.and.snqx"
20,"원피스 트레저 크루즈","BANDAI NAMCO Entertainment Inc.","com.bandainamcoent.onepiecetresurecruisekr"
21,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
22,"버닝: 매지컬소드","Eyougame Inc.","com.eyougame.burning"
23,"브롤 로드 - 3D방치형 RPG","PopFox","com.popfox.bzkr"
24,"클래시 로얄","Supercell","com.supercell.clashroyale"
25,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
26,"별이되어라!","GAMEVIL","com.gamevil.psrforkakao"
27,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
28,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
29,"위 베어 베어스 더 퍼즐 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
30,"복싱스타(Boxing Star)","FourThirtyThree Inc.","com.ftt.boxingstar.gl.aos"
31,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
32,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
33,"이사만루2018","Netmarble","com.netmarble.full2016"
34,"십만대적검","PangSky","com.pang.sibman.google"
35,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
36,"반지","ENP GAMES Co., Ltd.","com.ENP.therings.kr.googleplay"
37,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
38,"운명의 사랑:궁","WISH INTERACTIVE TECHNOLOGY LIMITED","com.GF.apcgkrkr.hwyad.google"
39,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
40,"애니팡3 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
41,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
42,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
43,"프렌즈팝콘 for kakao","Kakao Games Corp.","com.kakaogames.friendsKing"
44,"이카루스M","Wemade Service","com.wemadesvc.icarusm"
45,"제5인격","X.D. Global","kr.xdg.and.id5"
46,"이터널 라이트","GaeaMobile","com.gaeamobile.kr.gmdl"
47,"야망","Skylinegames","com.skylinematrix.ggplay.snkr"
48,"넷마블 포커 - 바카라, 7포커, 로우바둑이, 뉴포커","Four Ones INC.","com.netmarble.mpoker"
49,"글로리","GAMELAND(HK)CO.,LIMITED","com.ulugames.honors.google"
50,"아이러브니키 for kakao","Kakao Games Corp.","com.kakaogames.nikki"
51,"킹스레이드","Vespa Inc.","com.vespainteractive.KingsRaid"
52,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
53,"짐의강산","JD GAMES","com.jedigames.p20.googleplay"
54,"피쉬아일랜드: 정령의 항로","NHN PixelCube Corp.","com.nhnpixelcube.fishislandII"
