1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
3,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
4,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
5,"모두의마블 for Kakao","Netmarble","com.cjenm.ModooMarbleKakao"
6,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
7,"삼국지M","Efun Company","com.efunkr.qy.google"
8,"하스스톤","Blizzard Entertainment, Inc.","com.blizzard.wtcg.hearthstone"
9,"영원한 7일의 도시","GaeaMobile","com.gaeamobile.kr.qrzd"
10,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
11,"오버히트","NEXON Company","com.nexon.overhit"
12,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
13,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
14,"로드 모바일","IGG.COM","com.igg.android.lordsmobile"
15,"MARVEL 퓨처파이트","Netmarble","com.netmarble.mherosgb"
16,"이터널 라이트","GaeaMobile","com.gaeamobile.kr.gmdl"
17,"카이저","NEXON Company","com.nexon.kaiserad"
18,"쿠키런: 오븐브레이크","Devsisters Corporation","com.devsisters.gb"
19,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
20,"클래시 오브 클랜","Supercell","com.supercell.clashofclans"
21,"세븐나이츠 for Kakao","Netmarble","com.cjenm.sknights"
22,"액스(AxE)","NEXON Company","com.nexon.axe"
23,"블레이드2 for kakao","Kakao Games Corp.","com.kakaogames.blade2"
24,"러브앤프로듀서","Paper Games","com.papegames.evol.kr.release"
25,"나이츠크로니클","Netmarble","com.netmarble.knightsgb"
26,"음양사 for kakao","Kakao Games Corp.","com.kakaogames.onmyouji"
27,"챔피언스매니저[모바사카]","Capstone Games korea","com.kr.krhmzq.google"
28,"위 베어 베어스 더 퍼즐 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.wbb"
29,"총기시대 (Guns of Glory)","DIANDIAN INTERACTIVE HOLDING","com.diandian.gog"
30,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
31,"붕괴3rd","miHoYo Limited","com.miHoYo.bh3korea"
32,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
33,"글로리","GAMELAND(HK)CO.,LIMITED","com.ulugames.honors.google"
34,"해전1942","Sincetimes Co., Ltd.","kr.co.sincetimes.bsg"
35,"DRAGON BALL Z 폭렬격전","BANDAI NAMCO Entertainment Inc.","com.bandainamcogames.dbzdokkanww"
36,"야망","Skylinegames","com.skylinematrix.ggplay.snkr"
37,"리니지M(12)","NCSOFT Corporation","com.ncsoft.lineagem"
38,"메이플스토리M","NEXON Company","com.nexon.nsc.maplem"
39,"한게임 포커","NHN Entertainment Corp.","com.nhnent.Qpoker"
40,"클래시 로얄","Supercell","com.supercell.clashroyale"
41,"[SRPG]신무월:DIVINE","Gamepub","com.gamepub.sm.g"
42,"프렌즈팝콘 for kakao","Kakao Games Corp.","com.kakaogames.friendsKing"
43,"킹스레이드","Vespa Inc.","com.vespainteractive.KingsRaid"
44,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
45,"이사만루2018","Netmarble","com.netmarble.full2016"
46,"아이러브니키 for kakao","Kakao Games Corp.","com.kakaogames.nikki"
47,"소녀전선","X.D. Global","kr.txwy.and.snqx"
48,"애니팡3 for kakao","SUNDAYTOZ, INC","com.sundaytoz.kakao.anipang3.service"
49,"그랜드체이스 for kakao","Kakao Games Corp.","com.kakaogames.grdchase"
50,"Pokémon GO","Niantic, Inc.","com.nianticlabs.pokemongo"
51,"신삼국지 모바일-코에이 테크모 인증","AligamesKR","com.aligames.sgzhg.google"
52,"프렌즈마블 for kakao","Kakao Games Corp.","com.kakaogames.frmarble"
53,"애니팡2 for kakao","SUNDAYTOZ, INC","com.sundaytoz.mobile.anipang2.google.kakao.service"
54,"냥코 대전쟁","PONOS","jp.co.ponos.battlecatskr"
55,"천공성 나르시아","C.O.C","com.coc.kr.cocjz.google"
56,"꿈의 정원 (Gardenscapes)","Playrix Games","com.playrix.gardenscapes"
57,"정상대해전-해상 전쟁 전략 게임","Special Gamez","com.special.warship"
