1,"리니지M","NCSOFT Corporation","com.ncsoft.lineagem19"
2,"블레이드&amp;소울 레볼루션","Netmarble","com.netmarble.bnsmkr"
3,"검은사막 모바일","PEARL ABYSS","com.pearlabyss.blackdesertm"
4,"리니지2 레볼루션","Netmarble","com.netmarble.lineageII"
5,"FIFA ONLINE 4 M by EA SPORTS™","NEXON Company","com.nexon.fo4m"
6,"브롤스타즈","Supercell","com.supercell.brawlstars"
7,"스피릿위시","NEXON Company","com.nexon.spw"
8,"신명","Trigirls Studio","com.indie.jzx.kr"
9,"뮤오리진2","Webzen Inc.","com.webzen.muorigin2.google"
10,"왕이되는자 - 독창적인 고품격 벼슬길 승진 SRPG, 모바일 게임의 선구자","CHUANG COOL ENTERTAINMENT","com.szckhd.jwgly.azkr"
11,"모두의마블","Netmarble","com.cjenm.ModooMarbleKakao"
12,"세븐나이츠","Netmarble","com.cjenm.sknights"
13,"마피아 시티","YottaGames","com.yottagames.mafiawar"
14,"십이지천M","엔토리","com.ntori.tsm"
15,"헌드레드 소울","HOUND 13","com.hound13.hundredsoul"
16,"오크: 전쟁의 서막","Efun Company","kr.com.efun.kok.google"
17,"검은강호","9Splay","com.nsplay.ghkr.android"
18,"로드 모바일: 제국의 전쟁 - MMORPG","IGG.COM","com.igg.android.lordsmobile"
19,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","NEOWIZ corp","com.neowiz.games.poker"
20,"삼국지M","Efun Company","com.efunkr.qy.google"
21,"아리엘","Eyougame Inc.","com.eyougame.ariel"
22,"히어로칸타레 with NAVER WEBTOON","NGEL GAMES Co.,Ltd.","com.ngelgames.herocantare"
23,"서머너즈 워: 천공의 아레나","Com2uS","com.com2us.smon.normal.freefull.google.kr.android.common"
24,"라그나로크M : 영원한 사랑","GRAVITY Co., Ltd.","com.gravity.rom.aos"
25,"데일리 판타지","RastarGames","com.guanghuan.czjykr"
26,"배틀그라운드","PUBG CORPORATION","com.pubg.krmobile"
27,"다크에덴M","Entermate","com.entermate.darkeden"
28,"파이널 판타지 XV: 새로운 제국 [Final Fantasy XV]","Epic Action LLC","com.epicactiononline.ffxv.ane"
29,"에픽세븐","Smilegate Megaport","com.stove.epic7.google"
30,"페이트/그랜드 오더","Netmarble","com.netmarble.fgok"
31,"Pokémon GO","Niantic, Inc.","com.nianticlabs.pokemongo"
32,"컴투스프로야구2018","Com2uS","com.com2us.probaseball3d.normal.freefull.google.global.android.common"
33,"라스트 쉘터 (Last Shelter: Survival)","IM30 TECHNOLOGY LIMITED","com.more.dayzsurvival.gp"
34,"클래시 로얄","Supercell","com.supercell.clashroyale"
35,"불멸강호: 천애신서","4399 KOREA","com.bxfr4399kr.google"
36,"크루세이더 퀘스트","NHN Entertainment Corp.","com.nhnent.SKQUEST"
